time,type,value,duration
1:08:39.3389,state,idle,0
1:08:39.3389,state,working,9
1:08:48.2686,state,idle,0
1:08:48.2686,state,working,7
1:08:54.8371,state,idle,0
1:08:54.8371,state,working,9
1:09:04.0001,state,idle,0
1:09:04.0001,state,working,11
1:09:14.9962,state,idle,0
1:09:14.9962,state,working,12
1:09:27.2762,state,idle,0
1:09:27.2762,state,working,27
1:09:53.8377,state,idle,0
1:09:53.8377,state,working,8
1:10:01.9264,state,idle,0
1:10:01.9264,state,working,18
1:10:19.7254,state,idle,0
1:10:19.7254,state,working,6
1:10:25.4323,state,idle,0
1:10:25.4323,state,working,1
1:10:26.2831,state,idle,0
1:10:26.2831,state,working,25
1:10:50.8331,state,idle,0
1:10:50.8331,state,working,2
1:10:53.1544,state,idle,0
1:10:53.1544,state,working,7
1:10:59.8870,state,idle,0
1:10:59.8870,state,working,17
1:11:17.1649,state,idle,0
1:11:17.1649,state,working,6
1:11:23.3378,state,idle,0
1:11:23.3378,state,working,5
1:11:27.8853,state,idle,0
1:11:27.8853,state,working,12
1:11:40.1949,state,idle,0
1:11:40.1949,state,working,1
1:11:40.9949,state,idle,0
1:11:40.9949,state,working,1
1:11:42.0007,state,idle,0
1:11:42.0007,state,working,18
1:12:00.2147,state,idle,0
1:12:00.2147,state,working,18
1:12:18.0239,state,idle,0
1:12:18.0239,state,working,35
1:12:52.8591,state,idle,0
1:12:52.8591,state,working,9
1:13:01.6731,state,idle,0
1:13:01.6731,state,working,1
1:13:02.6370,state,idle,0
1:13:02.6370,state,working,16
1:13:19.1291,state,idle,0
1:13:19.1291,state,working,13
1:13:32.4124,state,idle,0
1:13:32.4124,state,working,29
1:14:01.5439,state,idle,0
1:14:01.5439,state,working,20
1:14:21.7503,state,idle,0
1:14:21.7503,state,working,24
